,reviewContent,flagged
2137,Used this hotel the first time I was in Chicago. For the prices and for being classified an intercontinental...I wouldn't consider it that good. The rooms were solid. The view was ok (but so is it virtually everywhere else on Michigan Ave.) The service was ok. The prices were ridiculous for everything from wifi to well everything else. We came here for a Jewish/Hindi wedding. Appetizer was fine. Main entree was a small portion of meat with forgettable everything else. Dessert was inedible. I have been to some other expensive hotels with similar ratings but they had more or just better rooms to an extent that it would be worth it. I personally preferred the Conrad. Better prices and better service.,N
2755,"The best place to stay in down town Chicago. I've stayed at least in 5-6 different hotels in the downtown chicago area for business and pleasure.  For the money-location and service- I'll be staying at the James from now on. Its similar to the W without the ""chaos."" Very modern. Fantastic service from the door men- to spa to the front desk.  And only one block away from michigan Ave. Centerally located. I've stayed at the James twice now- first time business- second time pleasure- and both stays were consistant.  And added bonus- the Kiehls products you get in the room. And need to give special kudos to Scott - Lobby Assistant Coordinator- gave us good tips on where to go and even got us into a popular bar with VIP- no wait in line status.",N
3180,This place is magnificent!,N
2063,"I had my wedding here on 5/14/11, and I was very pleased with the entire event.  From start to finish, Barbara Martin, the catering manager, was very easy to work with and very accommodating.  The view from the Wolf Point Ballroom is great.  It looks out over the river and makes this more than just another hotel ballroom.   Another nice surprise was that the food was amazing.  I don't tend to expect much of wedding food, but I must say that ours was delicious.  We chose chicken napoleon with roasted vegetables and garlic mashed potatoes.   I had people telling me all night that they loved it.  The cake (from Alliance Bakery) was included in our package and that was great, too.  And I didn't have to do any coordinating.  The bakery dealt directly with Barbara.   The rooms that they blocked out for us were also very nice.  The rooms for both sets of parents were free, as was our bridal suite which was spectacular.  It was huge, had a nice view of the city, and there was free champagne and cookies waiting for us.  We, and our parents, also got free breakfast the next morning.   I definitely recommend having an event there.  We really wanted a downtown wedding and at the Holiday Inn Mart Plaza we were able to get it without spending a crazy amount of money.",N
2538,"Two people are shot dead outside of the Victor Hotel, another one wounded: http://www.chicagotribun... Stay away from this neighborhood, it isn't safe at all!",N
5834,"The Talbott is a great place to stay. It is a luxury boutique in the heart of the Gold Coast, easily within walking distance of Michigan Avenue, State Street, and Navy Pier. The staff is exceptionally friendly. They provide twenty-four-hour room service, concierge service, and the front desk staff and waitstaff are even cheerful late at night. The rooms are modern, well decorated, and comfortable. They feature flat-screen satellite televisions, ihome alarm clocks, and many other conveniences one would expect from a luxury hotel, without the sameness of the chains.",Y
5775,"Typical Marriott in a fairly good location near the UIC campus and the medical district.  Driven towards the business traveler.  Has a decent restaurant and bar area, although hardly warm or comfortable - more get-in and get-out.  Starbucks service at the bar. Most of the rooms seemed to have nice street views - above average for a hotel. Getting there is a bit of a problem if not by car.  Local nearby bus stop is the best choice - the metro is good half mile from the hotel.  Walking from the hotel to the waterfront is a trek and is possible during the day - I wouldn't recommend at night.",N
3108,"This is a 5 star hotel and lounge, They can have the other 3 stars back when they get rid of the rapper crowd with dead looser T-shirts on, Have been coming here for 5+ years, Always have a great time, However, The last 2 times have forced us to go somewhere via cab so we don't get shot or stabbed by overzeleous rappers looking for fat white chics with low self esteem, Excalibur is on Dearborn holmes. Dear Westin folks, We feel your pain but please fix this problem.\ *UPDATE* stayed here back in April 2008, A complete turn around, the W is great again. thanks, Westin",N
3947,"at first you might compliment her for her character and her unpretentiousness. then you'll start making excuses: she's older, she hasn't been cared for and at least she's cheap. then you realise it's not you, it's her. you deserve better, and she needs a makeover of fresh paint, wallpaper, linoleum, and then some before you'll even consider being seen with her again.",N
3487,"Let me start off by saying that I did not stay here, this review is only for the experience I had with booking my wedding room block here. So of course Hotwire was running some deal, where you could get a fight and a room at the Allerton for some really ridiculously low rate. So rather than booking directly through the Hotel, my out of town relatives booked through Hotwire. Knowing this, I called my contact at the hotel who will be called ""MK"" in this review and added everyone to the list. I spent a significant amount of time on the phone with MK so that everyone that was checking in would get the out of town bag etc. So when check in date came along, I was told by my mother-in-law that no one was getting bags!!! As you can imagine this is the LAST thing I wanted to deal with after having spent HOURS on the phone with MK and being charged $3 bucks a bag so they could sit there and not be distributed. I had to call the hotel after my rehearsal to iron out the issues. It appears that MK left no list at the check in counter and no one knew what to do, even though I had dropped off 20 bags to be given out. The best part is that I was still charged for ""distribution"" after having gone through this pain in rear experience. MK was less that pleasant to deal with, so please be cautious if you are ever considering a room block here. Be prepared to make phone calls and supervise the night before your wedding. NEVER AGAIN!!!",N
4847,The Hyatt Regency in Chicago is a really nice hotel.  It has an upscale feel and is so close to downtown that you can just leave on foot to get to the magnificent mile.  It is very professional and has a great feel to it.,Y
4989,"This is the worst hotel 3 star I have stayed in in the past 10 years! It should be a 0 star. We stayed here because of the pool for the kids.The pool is filthy, has RUST & BROWN SCUM all over the edges and ladders and needs cleaning.The atrium smells. The continental breakfast is a joke-with vendor machine type muffins in plastic wrap. No restaurant either. No beverage or snack bar. No movies available on tv either. Pillows are more like a rock hard basketballs. The bathroom was the smallest bathroom I have ever used in a hotel and almost impossible to get an adult and child in there without getting banged by the door.The garage attendants damaged our car and they gave us the runaround for 2 days before we were able to file the report.I called at noon and asked why our room was not cleaned and was informed that this was not a regular hotel with hotel rules----it was the ""Essex Inn"" and was rudely informed that the room would be cleaned by 4PM. The hotel manager is never available.Poor attitude and poor management is the norm for this hotel.Save your hard earned money and stay elsewhere!",Y
800,"The Westin on Michigan Avenue enjoys one of the prime locations in the city. It is just north of the John Hancock Center, which has a plaza that is the unofficial outdoor porch of the hotel. The rooms are very nice but not top-notch, suffering only in comparison to the competing five-star hotels in the area. The front desk area can be very busy, but the beds are ""heavenly"".",N
4539,"This review is for happy hour only.  I've come here a handful of times for cocktails in the lobby. Here's the thing... the drinks are expensive, the service isn't great, and the food options are small... but none of that matters.  Because you come here for one reason and one reason only.  The atmosphere.  It's a kick ass old hotel with a million things to look at on the ceiling alone.  I love sitting in those tall back chairs, sipping on a scotch, and catching up with a friend.  If you haven't ever been here I highly recommend you visit.",N
908,"My favorite hotel in Chicago.  Why?  First and foremost, the staff is outstanding.  They are so friendly and helpful.  Reggie, the Bell Captain, has been there for years to welcome you to the hotel. Second, is location.  You can take take the blue line to/from O'hare and the hotel is a mere 2 blocks away from the station.  They are also close to 2 ""L"" line stations, and the red line. Third is the complimentary nightly wine reception.  This is a great way to start your evening and I always meet interesting people. Fourth is the decor and history behind this hotel.  Ask to stay on one of the historic floors (7 and above) for a truly unique experience. But again, it is the staff at this hotel which make it exceptional!",N
1375,"don't be fooled by the age of the lobby, front desk, and elevators, because those are misrepresentations of the rooms! rooms are newly renovated with modern decor.  nice flat screen plasma in every room.  the rooms are not big, but not small and claustrophobia inducing.   restroom came with rain shower, hand held shower, as well as every hotel's must:  hairdryer.  well-lit and clean!   friendly staff and great service.  i would highly recommend the millennium knickerbocker for anyone looking for a reasonable priced place to stay :)",N
4915,Went here for a wedding a few weeks a go in the Gold Coast room. Food was beyond a dissapointment. But- wedding food is never perfect especially if you have a lot of guests. The decor is nice. Stayed in a huge sweet on the 7th floor which was amazing. Staff was very friendly.,Y
2306,"I went to a wedding reception here.  I will admit I did not expect much because this place seems to have been under construction for forever and I just didn't have high hopes.  It was a lovely reception, however.  The room was very modern, with a nice cool reception area outside to step away from the dance floor and cool off.  The biggest problem was that you had to ride up a very slow, cramped elevator to get there.     The soup here was...remarkable.  The best tomato-basil soup I've ever had.  Second-best wedding soup I've ever had (that would be the cream of artichoke at the Hotel Intercontinental about 12 years back).  I don't know what the magic ingredient is, but it must be pixie dust or leprechan gold shavings or unicorn kisses.  It is served with a marvelous bread top that defies description.  I just cannot say enough about it.  I would do unspeakable things to have that soup again.  I think I'm going to start calling the hotel to see what I can barter for more of this soup. Also, the wedding was beautiful and lovely.  I assume the first dance, cutting the cake, etc. was nice but couldn't look up from my soup.  I'll have to watch the video.",N
1771,"I've stayed at the Allegro several times while traveling for work and have never had anything but a pleasant experience. I typically like modern hotels but this boutique hotel is quite nice. The interesting decor, paired with the friendly staff and great wine happy hour make for a unique experience. I also liked the fact that it's located in the theater district which has its' own feel and is an easy cab ride anywhere you're looking to go.",N
2120,"Stayed here Christmas Eve and it was quite nice. The room had a lovely view of the river and the gorgeous architecture of Chicago. Nice big bed and good toiletries in the bathroom. Nothing stunning beyond recognition, but very nice. For a few bucks extra, breakfast was included. Big buffet (but the pancakes and French toast were cold).  Overall, nice. Not very nice: no free wi-fi in the room. What kind of nonsense is that?!",N
1541,"This is an oddly mismatched kind of place...many things going for it....and several...well...not so much!   Location: Absolutely Great!  In the Loop at the lower end of Michigan Ave., all the good stuff downtown Chicago has to offer is close by.   The hotel is trying to be an upscale boutique hotel. About half the rooms have been renovated and about half have not.  The rooms are spacious in size, though maybe a little weirdly laid out.  I had a renovated room, which was trying to aspire to the more upscale hotels  but fell short in a few areas.   There is a 32 inch Plasma TV...and a glassed in shower with another TV in the bathroom.  The desk is weirdly tall compared to the chairs if you want to work in the room as I did.   The staff was mostly very helpful, particularly the room service people and the meeting & event people, though the front desk people (although pleasant) seemed a bit clueless about the issues that people had to deal with while I was there.   The biggest issue for me (a business traveler) was that the internet in the guest rooms was down for 5 of the 6 days I was there!  A major inconvenience!  I was amazed that it wasn't fixed within 24 hours.   One of the 4 elevators didn't work the whole time I was there, and the restaurant was closed for renovation, so later guests will hopefully avoid these issues.  Also the doorbell on our room went off for no apparent reason at 4:45 AM several of the nights we were there.  I did see that some people who reviewed complained about noise...Our room was nice and quiet, except for the aforementioned doorbell, which appeared to be an electrical problem, not a prankster. For meetings or events, the Penthouse on the 39th floor is absolutely awesome!!!  I held an event there and it was a great venue, and the staff very helpful.   Overall...a good place to stay....if a little random :)",N
4547,"i and my friend stayed here for lollapalooza this year. the rooms are small -- i prefer to call them ""cozy"" -- but the decor of the whole hotel, elevators,bars and all, is gorgeous. you feel like you're *someone* when you walk the halls of the palmer house. as mentioned, the room's small. there really isn't a lot of space to really walk around. it was two steps from the bed to the bathroom. but i'm not complaining. they're clean and they're a place to sleep. granted, not the best decorated, which is strange because the rest of the hotel's just grand. part of the reason you go to a lavish hotel such as this one is the service. and oh, we got served. we ordered room service for breakfast and it was really, really good, and it got up to us quickly. everyone was courteous and went out of their way to make our stay comfortable. and when i hung out at the bar, the bartender was accommodating when i asked for drink suggestions. we made nice, it was all good. i quite enjoyed my stay here, and i'd definitely come back, despite how expensive it is to get a room. oh, speaking of which, we were only a short walk from grant park. perhaps about three blocks. so it's an awesome place to stay if you're going to lolla.",N
705,"Location, location, location...that's the primary benefit of this hotel.  CMs are pretty standard wherever you go...yes, some better maintained than others.  This one was finishing a renovation but the rooms still looked pretty average.   If you like being near Michigan Ave. and don't want to pay extreme prices but want a decent bed at night and good business travel amenities, this is the place.  2 blocks from Nordstrom, a few blocks from Ginos and right next to the brand new Garretts Popcorn shop with the heavenly caramel aroma. A very small Starbucks off the lobby. The bed is okay, not great, not enough blankets.  Free wireless is great.  Not enough channels on TV (no A&E, no TRUTV); Great bellmen who are very helpful.  You can schedule the cleaning of your room in case you want to go out for the day and don't want to leave your laptop, etc. in the room while it's being serviced.   Do not...I repeat...DO NOT order room service from the restaurant off the lobby called Vivande.  I had the misfortune of ordering dinner from there on SuperBowl Sunday because I wanted to eat  in my room and watch the game.  The salad was old and the soup had these mushy croutons (blegch!).  Eggs over medium were eggs over raw.   The serving staff was apologetic of course but it was a poor compensation for bad cuisine. I would stay there again yes, especially if I knew i wasn't going to spend much time in my room (to go shopping instead!)",N
3837,"One of the best hotels in downtown chicago! from service to selection highest quality all around. an amazing rooftop lounge, aja restaurant offers an amazing food menu, and the service is above and beyond. try the rainbow maki sushi rolls, excellent!",N
